samples=12741 existing=20 pending=12721
      "semantic_all_supported": 333,
      "semantic_any_partial_or_supported": 565,
      "semantic_all_partial_or_supported": 440,
      "semantic_any_contradicted": 65,
      "semantic_any_supported_rate": 44.99,
      "semantic_any_partial_or_supported_rate": 57.13
    },
    {
      "run_id": "supermemory_medium",
      "wrong_with_evidence_judged": 1667,
      "token_any_exact_hit": 6,
      "token_any_hit_0p60": 5,
      "semantic_any_supported": 19,
      "semantic_all_supported": 12,
      "semantic_any_partial_or_supported": 44,
      "semantic_all_partial_or_supported": 32,
      "semantic_any_contradicted": 20,
      "semantic_any_supported_rate": 1.14,
      "semantic_any_partial_or_supported_rate": 2.64
    }
  ],
  "by_question_type": [
    {
      "run_id": "mem0_long",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 710,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 0,
      "semantic_any_supported": 4,
      "semantic_all_supported": 4,
      "semantic_any_partial_or_supported": 27,
      "semantic_all_partial_or_supported": 26,
      "semantic_any_contradicted": 28,
      "semantic_any_supported_rate": 0.56,
      "semantic_any_partial_or_supported_rate": 3.8
    },
    {
      "run_id": "mem0_long",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 170,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 3,
      "semantic_any_supported": 3,
      "semantic_all_supported": 2,
      "semantic_any_partial_or_supported": 12,
      "semantic_all_partial_or_supported": 7,
      "semantic_any_contradicted": 8,
      "semantic_any_supported_rate": 1.76,
      "semantic_any_partial_or_supported_rate": 7.06
    },
    {
      "run_id": "mem0_long",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 643,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 7,
      "semantic_any_supported": 18,
      "semantic_all_supported": 9,
      "semantic_any_partial_or_supported": 89,
      "semantic_all_partial_or_supported": 21,
      "semantic_any_contradicted": 18,
      "semantic_any_supported_rate": 2.8,
      "semantic_any_partial_or_supported_rate": 13.84
    },
    {
      "run_id": "mem0_long",
      "question_type": "Memory Conflict",
      "wrong_with_evidence_judged": 534,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 2,
      "semantic_any_supported": 7,
      "semantic_all_supported": 5,
      "semantic_any_partial_or_supported": 19,
      "semantic_all_partial_or_supported": 12,
      "semantic_any_contradicted": 16,
      "semantic_any_supported_rate": 1.31,
      "semantic_any_partial_or_supported_rate": 3.56
    },
    {
      "run_id": "mem0_long",
      "question_type": "Multi-hop Inference",
      "wrong_with_evidence_judged": 182,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 1,
      "semantic_any_supported": 14,
      "semantic_all_supported": 5,
      "semantic_any_partial_or_supported": 41,
      "semantic_all_partial_or_supported": 13,
      "semantic_any_contradicted": 1,
      "semantic_any_supported_rate": 7.69,
      "semantic_any_partial_or_supported_rate": 22.53
    },
    {
      "run_id": "mem0_medium",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 638,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 6,
      "semantic_any_supported": 49,
      "semantic_all_supported": 48,
      "semantic_any_partial_or_supported": 91,
      "semantic_all_partial_or_supported": 89,
      "semantic_any_contradicted": 119,
      "semantic_any_supported_rate": 7.68,
      "semantic_any_partial_or_supported_rate": 14.26
    },
    {
      "run_id": "mem0_medium",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 154,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 2,
      "semantic_any_supported": 11,
      "semantic_all_supported": 8,
